experiment_id,timestamp,seed,path_length,num_searchers,time_budget,sample_ratio,heterogeneous_terrain,key_position,success,key_found_by,total_time_used,sampling_time,execution_time,time_remaining,cells_searched,coverage_rate,time_efficiency,search_efficiency,selected_strategy,selection_confidence
mas_full_study_0086,2026-01-28T10:10:39.552281,1035,50,3,30.0,0.05,True,8,True,0,13.714604621977351,1.5,28.5,16.28539537802265,25,0.5,0.542846512600755,0.8771929824561403,greedy_nearest,1.0
mas_full_study_0087,2026-01-28T10:10:39.552281,1036,50,3,30.0,0.05,True,40,True,2,8.642334040558682,1.5,28.5,21.35766595944132,9,0.18,0.711922198648044,0.3157894736842105,greedy_nearest,1.0
mas_full_study_0088,2026-01-28T10:10:39.553283,1037,50,3,30.0,0.05,True,9,True,2,3.240610024946523,1.5,28.5,26.759389975053477,3,0.06,0.8919796658351159,0.10526315789473684,greedy_nearest,1.0
mas_full_study_0089,2026-01-28T10:10:39.553283,1038,50,3,30.0,0.05,True,2,True,0,5.585114486829527,1.5,28.5,24.414885513170475,7,0.14,0.8138295171056825,0.24561403508771928,greedy_nearest,1.0
mas_full_study_0090,2026-01-28T10:10:39.555402,1039,50,3,30.0,0.05,True,18,False,,30.275092759755708,1.5,28.5,0.0,47,0.94,0.0,1.6491228070175439,greedy_nearest,1.0
mas_full_study_0091,2026-01-28T10:10:39.556461,1040,50,3,30.0,0.05,True,38,True,2,18.2290176270777,1.5,28.5,11.770982372922301,36,0.72,0.39236607909741006,1.263157894736842,greedy_nearest,1.0
mas_full_study_0092,2026-01-28T10:10:39.557379,1041,50,3,30.0,0.05,True,9,False,,24.946175214402956,1.5,28.5,5.053824785597044,50,1.0,0.0,1.7543859649122806,greedy_nearest,1.0
mas_full_study_0093,2026-01-28T10:10:39.558070,1042,50,3,30.0,0.05,True,15,False,,30.061992782070572,1.5,28.5,0.0,45,0.9,0.0,1.5789473684210527,greedy_nearest,1.0
mas_full_study_0094,2026-01-28T10:10:39.560070,1043,50,3,30.0,0.05,True,29,True,1,20.212103786226972,1.5,28.5,9.787896213773028,41,0.82,0.32626320712576756,1.4385964912280702,greedy_nearest,1.0
mas_full_study_0095,2026-01-28T10:10:39.561162,1044,50,3,30.0,0.05,True,2,False,,30.47982883993764,1.5,28.5,0.0,48,0.96,0.0,1.6842105263157894,greedy_nearest,1.0
mas_full_study_0096,2026-01-28T10:10:39.562107,1045,50,3,30.0,0.05,True,14,True,0,21.683823999543062,1.5,28.5,8.316176000456938,43,0.86,0.27720586668189795,1.5087719298245614,greedy_nearest,1.0
mas_full_study_0097,2026-01-28T10:10:39.563108,1046,50,3,30.0,0.05,True,2,True,0,9.886293316507148,1.5,28.5,20.11370668349285,7,0.14,0.6704568894497617,0.24561403508771928,greedy_nearest,1.0
mas_full_study_0098,2026-01-28T10:10:39.563108,1047,50,3,30.0,0.05,True,36,True,2,18.849036170235696,1.5,28.5,11.150963829764304,42,0.84,0.3716987943254768,1.4736842105263157,greedy_nearest,1.0
mas_full_study_0099,2026-01-28T10:10:39.564663,1048,50,3,30.0,0.05,True,4,True,2,15.447756071997091,1.5,28.5,14.552243928002909,12,0.24,0.485074797600097,0.42105263157894735,greedy_nearest,1.0
